HR,EDA,TEMP,Label
86.0,0.195406,34.86,0
86.0,0.195363,34.79,0
81.0,0.073895,34.81,0
92.0,0.195818,34.93,0
56.0,0.075028,34.8,0
56.0,0.068176,34.83,0
84.0,0.195775,34.88,0
54.0,0.147038,34.82,0
85.0,0.195172,34.9,0
87.0,0.198178,34.87,0
84.0,0.195838,34.97,0
86.0,0.196136,34.87,0
86.0,0.195467,34.8,0
61.0,0.116818,34.78,0
76.0,0.072186,34.7,0
54.0,0.148282,34.63,0
83.0,0.071948,34.65,0
55.0,0.093396,34.72,0
83.0,0.071983,34.69,0
73.0,0.09766,34.7,0
89.0,0.070977,34.7,0
85.0,0.195997,34.83,0
88.0,0.071956,34.76,0
46.0,0.173566,34.88,0
92.0,0.195915,34.99,0
88.0,0.072417,34.67,0
91.0,0.070903,34.65,0
89.0,0.196106,34.89,0
87.0,0.125475,34.99,0
84.0,0.195743,34.91,0
54.0,0.14794,34.75,0
89.0,0.071921,34.71,0
86.0,0.071146,34.62,0
87.0,0.19569,34.87,0
61.0,0.087148,34.74,0
92.0,0.19584,34.97,0
61.0,0.065327,34.79,0
82.0,0.073647,34.65,0
87.0,0.195677,35.01,0
87.0,0.195403,34.8,0
67.0,0.05817,34.81,0
88.0,0.195642,34.93,0
54.0,0.16887,34.8,0
46.0,0.175023,34.91,0
80.0,0.192795,34.86,0
85.0,0.195264,34.86,0
73.0,0.09922,34.69,0
85.0,0.19608,34.89,0
84.0,0.195978,34.88,0
54.0,0.149462,34.78,0
69.0,0.189714,34.83,0
80.0,0.056088,34.8,0
85.0,0.195903,34.92,0
87.0,0.195867,34.97,0
85.0,0.071317,34.54,0
73.0,0.101277,34.74,0
83.0,0.071593,34.78,0
67.0,0.070903,34.71,0
88.0,0.195707,34.9,0
87.0,0.195294,34.86,0
59.0,0.188351,34.69,0
79.0,0.049594,34.92,0
73.0,0.057004,34.69,0
81.0,0.071502,34.7,0
43.0,0.182727,34.87,0
54.0,0.15067,34.75,0
87.0,0.195475,34.93,0
54.0,0.14611,34.78,0
89.0,0.070962,34.63,0
87.0,0.171567,34.95,0
85.0,0.195155,34.85,0
61.0,0.105796,34.8,0
80.0,0.060049,34.72,0
89.0,0.070954,34.7,0
82.0,0.073547,34.76,0
86.0,0.196095,34.91,0
80.0,0.192965,34.85,0
54.0,0.170119,34.74,0
46.0,0.181124,34.84,0
46.0,0.181543,34.82,0
61.0,0.080215,34.71,0
73.0,0.11941,34.78,0
55.0,0.091513,34.72,0
73.0,0.10056,34.69,0
83.0,0.071742,34.73,0
86.0,0.07302,34.79,0
80.0,0.060503,34.72,0
86.0,0.073354,34.79,0
92.0,0.195956,34.98,0
82.0,0.074562,34.75,0
82.0,0.073399,34.68,0
54.0,0.142325,34.74,0
67.0,0.060145,34.8,0
92.0,0.195752,34.99,0
85.0,0.19568,34.84,0
73.0,0.057553,34.7,0
86.0,0.195221,34.91,0
67.0,0.06289,34.72,0
86.0,0.196073,34.85,0
85.0,0.193319,34.84,0
85.0,0.194597,34.82,0
85.0,0.194978,34.9,0
82.0,0.073798,34.8,0
43.0,0.184077,34.76,0
67.0,0.069137,34.71,0
81.0,0.071543,34.73,0
52.0,0.186398,34.82,0
73.0,0.082248,34.73,0
80.0,0.056325,34.8,0
87.0,0.195549,34.84,0
87.0,0.104455,35.03,0
46.0,0.179646,34.87,0
87.0,0.180981,34.97,0
73.0,0.116374,34.74,0
83.0,0.071645,34.78,0
85.0,0.195665,34.89,0
73.0,0.07138,34.79,0
54.0,0.146361,34.83,0
73.0,0.093402,34.81,0
85.0,0.196009,34.77,0
73.0,0.057731,34.73,0
75.0,0.192842,34.82,0
73.0,0.090679,34.71,0
86.0,0.071148,34.69,0
75.0,0.192031,34.85,0
88.0,0.072619,34.79,0
61.0,0.07343,34.62,0
82.0,0.074411,34.77,0
83.0,0.071834,34.71,0
88.0,0.196298,34.84,0
84.0,0.195893,34.91,0
89.0,0.198838,34.91,0
54.0,0.131342,34.62,0
84.0,0.195655,34.89,0
79.0,0.057687,34.92,0
56.0,0.066466,34.86,0
54.0,0.165085,34.81,0
61.0,0.071165,34.73,0
80.0,0.192891,34.89,0
55.0,0.111726,34.74,0
56.0,0.091513,34.72,0
55.0,0.125977,34.69,0
85.0,0.194362,34.84,0
81.0,0.073926,34.78,0
61.0,0.07138,34.79,0
86.0,0.196189,34.78,0
84.0,0.195857,34.95,0
54.0,0.134039,34.73,0
84.0,0.195813,35.01,0
85.0,0.192795,34.86,0
86.0,0.195066,34.88,0
86.0,0.195219,34.91,0
85.0,0.071224,34.62,0
61.0,0.06668,34.76,0
81.0,0.074168,34.78,0
86.0,0.195118,34.88,0
82.0,0.074592,34.75,0
85.0,0.195715,34.84,0
82.0,0.073624,34.65,0
87.0,0.195576,34.84,0
55.0,0.107988,34.64,0
46.0,0.172507,34.89,0
87.0,0.071017,34.59,0
86.0,0.195252,34.89,0
92.0,0.196017,34.95,0
85.0,0.195417,34.8,0
